,EdLevel,EdLevelClean
15965,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15966,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15967,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15968,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15969,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15970,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15971,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15972,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15973,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15974,Some college/university study without earning a degree,Some college (no degree)
15975,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15976,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15977,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15978,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15979,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15980,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15981,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15982,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15983,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15984,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15985,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15986,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15987,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15988,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15989,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15990,Some college/university study without earning a degree,Some college (no degree)
15991,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15992,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15993,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15994,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15995,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15996,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15997,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15998,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15999,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16000,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16001,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16002,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16003,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16004,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16005,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16006,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16007,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16008,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16009,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16010,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16011,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16012,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16013,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
