,EdLevel,EdLevelClean
16281,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16282,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16283,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16284,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16285,Some college/university study without earning a degree,Some college (no degree)
16286,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16287,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16288,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16289,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16290,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16291,Some college/university study without earning a degree,Some college (no degree)
16292,"Associate degree (A.A., A.S., etc.)",Associate degree
16293,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16294,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16295,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16296,Some college/university study without earning a degree,Some college (no degree)
16297,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16298,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16299,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16300,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16301,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16302,Primary/elementary school,Primary/elementary school
16303,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16304,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16305,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16306,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16307,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16308,Some college/university study without earning a degree,Some college (no degree)
16309,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16310,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16311,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16312,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16313,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16314,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16315,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16316,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16317,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16318,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16319,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16320,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16321,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16322,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16323,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16324,Some college/university study without earning a degree,Some college (no degree)
16325,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16326,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16327,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16328,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16329,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16330,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16331,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16332,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16333,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16334,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16335,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16336,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16337,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16338,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16339,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16340,"Associate degree (A.A., A.S., etc.)",Associate degree
16341,Something else,Something else
16342,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16343,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16344,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16345,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16346,Some college/university study without earning a degree,Some college (no degree)
16347,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16348,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16349,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16350,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16351,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16352,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16353,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16354,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16355,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16356,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16357,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16358,Some college/university study without earning a degree,Some college (no degree)
16359,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16360,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16361,Some college/university study without earning a degree,Some college (no degree)
16362,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16363,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16364,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16365,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16366,Some college/university study without earning a degree,Some college (no degree)
16367,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16368,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16369,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16370,Some college/university study without earning a degree,Some college (no degree)
16371,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16372,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16373,Some college/university study without earning a degree,Some college (no degree)
16374,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16375,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16376,"Associate degree (A.A., A.S., etc.)",Associate degree
16377,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16378,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16379,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16380,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16381,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16382,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16383,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16384,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16385,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16386,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16387,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16388,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16389,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16390,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16391,Some college/university study without earning a degree,Some college (no degree)
16392,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16393,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16394,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16395,Some college/university study without earning a degree,Some college (no degree)
16396,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16397,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16398,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16399,Some college/university study without earning a degree,Some college (no degree)
16400,Some college/university study without earning a degree,Some college (no degree)
16401,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16402,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16403,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16404,Some college/university study without earning a degree,Some college (no degree)
16405,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16406,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16407,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16408,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16409,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16410,Some college/university study without earning a degree,Some college (no degree)
16411,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16412,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16413,"Associate degree (A.A., A.S., etc.)",Associate degree
16414,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16415,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16416,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16417,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16418,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16419,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16420,"Associate degree (A.A., A.S., etc.)",Associate degree
16421,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16422,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16423,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16424,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16425,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16426,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16427,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16428,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16429,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16430,Some college/university study without earning a degree,Some college (no degree)
16431,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16432,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16433,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16434,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16435,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16436,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16437,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
16438,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16439,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16440,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16441,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16442,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16443,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16444,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
16445,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
16446,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16447,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16448,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16449,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
