,Age,EdLevel,AgeClean,AgeOrder,EdLevelClean
4169,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4170,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4171,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4172,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4173,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4174,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4175,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4176,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4177,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
4178,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4179,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
4180,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4181,25-34 years old,Something else,25-34,3,Something else
4182,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4183,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4184,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4185,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4186,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4187,55-64 years old,Some college/university study without earning a degree,55-64,6,Some college (no degree)
4188,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4189,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
4190,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4191,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4192,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4193,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4194,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4195,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4196,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4197,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4198,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4199,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4200,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4201,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4202,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
4203,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4204,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",55-64,6,Professional degree
4205,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4206,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4207,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4208,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4209,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4210,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
4211,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4212,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4213,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4214,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4215,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4216,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
4217,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4218,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4219,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
4220,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
4221,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4222,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4223,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4224,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4225,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
4226,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4227,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4228,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
4229,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4230,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
4231,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4232,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4233,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4234,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4235,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4236,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4237,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
4238,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4239,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4240,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4241,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4242,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4243,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4244,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4245,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4246,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
4247,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4248,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4249,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4250,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4251,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4252,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4253,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4254,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4255,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34,3,Professional degree
4256,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4257,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4258,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4259,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4260,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4261,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4262,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4263,35-44 years old,"Associate degree (A.A., A.S., etc.)",35-44,4,Associate degree
4264,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4265,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
4266,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4267,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4268,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4269,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4270,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
4271,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4272,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4273,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4274,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4275,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4276,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4277,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4278,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4279,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4280,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
4281,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4282,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4283,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4284,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4285,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
4286,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4287,Under 18 years old,Some college/university study without earning a degree,Under 18,1,Some college (no degree)
4288,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
4289,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4290,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
4291,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4292,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4293,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4294,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4295,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4296,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4297,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
4298,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4299,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4300,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4301,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4302,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4303,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4304,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
4305,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4306,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4307,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
4308,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4309,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4310,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4311,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4312,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4313,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4314,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4315,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4316,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4317,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4318,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4319,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4320,25-34 years old,Something else,25-34,3,Something else
4321,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4322,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4323,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4324,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4325,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4326,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4327,18-24 years old,Something else,18-24,2,Something else
4328,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
4329,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4330,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4331,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4332,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4333,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4334,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4335,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4336,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4337,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
4338,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",55-64,6,Professional degree
4339,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4340,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4341,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4342,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4343,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4344,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4345,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4346,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4347,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4348,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4349,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
4350,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4351,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4352,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4353,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4354,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4355,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4356,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
4357,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4358,18-24 years old,Something else,18-24,2,Something else
4359,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
4360,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4361,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4362,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4363,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4364,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
4365,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34,3,Professional degree
4366,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4367,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4368,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4369,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
4370,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4371,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4372,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4373,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
4374,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
4375,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
4376,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4377,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
4378,18-24 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18-24,2,Professional degree
4379,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
4380,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
4381,18-24 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18-24,2,Professional degree
4382,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
4383,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
